# PUBCHEM_COMPOUND_CID	ID	SMILES
2082	MUV_600_D_1	CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
2153	MUV_600_D_2	Cn1c2nc[nH]c2c(=O)n(C)c1=O
2554	MUV_600_D_3	NC(=O)N1c2ccccc2C=Cc2ccccc21
2576	MUV_600_D_4	CCCC(C)(COC(N)=O)COC(=O)NC(C)C
2754	MUV_600_D_5	O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
2818	MUV_600_D_6	CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1
2890	MUV_600_D_7	O=C(c1ccc2c(c1)OCCO2)N1CCCCC1
3168	MUV_600_D_8	O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
3229	MUV_600_D_9	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
3295	MUV_600_D_10	CCOc1ccc2nc(S(N)(=O)=O)sc2c1
3478	MUV_600_D_11	Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
3715	MUV_600_D_12	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
3957	MUV_600_D_13	CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
3969	MUV_600_D_14	CCCc1c(OCCCCc2nn[nH]n2)ccc(C(C)=O)c1O
4235	MUV_600_D_15	O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
4463	MUV_600_D_16	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
4472	MUV_600_D_17	O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
4485	MUV_600_D_18	COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
4495	MUV_600_D_19	CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
4497	MUV_600_D_20	COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
4539	MUV_600_D_21	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
4544	MUV_600_D_22	COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C
4748	MUV_600_D_23	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
4847	MUV_600_D_24	Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1
4909	MUV_600_D_25	CCC1(c2ccccc2)C(=O)NCNC1=O
5155	MUV_600_D_26	Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O
5265	MUV_600_D_27	O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
5320	MUV_600_D_28	CC(=O)NS(=O)(=O)c1ccc(N)cc1
5429	MUV_600_D_29	Cn1cnc2c1c(=O)[nH]c(=O)n2C
5430	MUV_600_D_30	c1nc(-c2nc3ccccc3[nH]2)cs1
5510	MUV_600_D_31	Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1
5735	MUV_600_D_32	CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
5887	MUV_600_D_33	Cl.CN(C)CCCN1c2ccccc2Sc2ccccc21
8739	MUV_600_D_34	NS(=O)(=O)c1ccc(C(=O)O)cc1
9363	MUV_600_D_35	CCN(CC)C(=O)c1ccc(O)c(OC)c1
10309	MUV_600_D_36	C(=NC(N=Cc1ccco1)c1ccco1)c1ccco1
15629	MUV_600_D_37	CON(C)C(=O)Nc1ccc(Cl)cc1
16559	MUV_600_D_38	O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
16834	MUV_600_D_39	c1nc2c(ncnc2NCc2ccccc2)n1C1CCCCO1
21600	MUV_600_D_40	CCC1(CC)NC(=O)NC1=O
23466	MUV_600_D_41	Cc1ccccc1C(=O)Nc1ccccc1
26880	MUV_600_D_42	CC(=O)Nc1ccc(-c2ccccc2)s1
28576	MUV_600_D_43	O=C1Cc2ccccc2C(c2ccccc2)N1
28777	MUV_600_D_44	O=C1c2ccccc2C(=O)N1SC1CCCCC1
30627	MUV_600_D_45	COc1cc(C(=O)NCCCCCC(=O)O)cc(OC)c1OC
32475	MUV_600_D_46	O=C1C2=C(SCCS2)C(=O)N1c1ccccc1
34312	MUV_600_D_47	NC(=O)N1c2ccccc2CC(=O)c2ccccc21
40132	MUV_600_D_48	CC(CC1(O)c2ccccc2N(C)C1=O)=NO
40146	MUV_600_D_49	Cc1cc(C)cc(C(=O)NCc2ccncc2)c1
41368	MUV_600_D_50	CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1
43541	MUV_600_D_51	CC(=O)N1CCN=C1SCc1ccc(F)cc1
44093	MUV_600_D_52	CC(CS)C(=O)N1CCCC1C(=O)O
44383	MUV_600_D_53	Cl.COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
44827	MUV_600_D_54	COc1ccc2[nH]cc(C(=O)CN3CCCCC3)c2c1
50496	MUV_600_D_55	Nc1c(=O)oc2ccccc2c1N1CCN(c2ccccc2)CC1
53000	MUV_600_D_56	Cl.O=C(O)c1ccc(OCCn2ccnc2)cc1
56375	MUV_600_D_57	CCN(CC)CC(=O)c1c[nH]c2ccccc12
57381	MUV_600_D_58	CC(C)CCOc1ccc(C2(C)NC(=O)N(CN3CCOCC3)C2=O)cc1
62935	MUV_600_D_59	Cl.O=c1n2ccccc2nn1CCCN1CCN(c2cccc(Cl)c2)CC1
62969	MUV_600_D_60	Cl.COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
62978	MUV_600_D_61	COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O
63430	MUV_600_D_62	O=c1nc(-c2ccccc2)c2ccccc2[nH]1
63994	MUV_600_D_63	O=C1CCCN1CC(CN1CCOCC1)Sc1nc2ccccc2c(=O)n1-c1ccccc1
64125	MUV_600_D_64	C=CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C
64137	MUV_600_D_65	Cn1c(NCc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C
66070	MUV_600_D_66	Cl.Cc1cccc(C)c1NC(=O)C1CCCCN1C
66259	MUV_600_D_67	Cl.Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
66738	MUV_600_D_68	Nc1cc(Cl)ccc1Oc1ccccc1
68304	MUV_600_D_69	Cl.CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1
71188	MUV_600_D_70	CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
71612	MUV_600_D_71	Cl.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
73324	MUV_600_D_72	Cc1cccc(C)c1N1C(=O)c2ccccc2C1=O
75629	MUV_600_D_73	Cc1cc(=O)n2[nH]cnc2n1
76059	MUV_600_D_74	COc1ccc(S(=O)(=O)Cc2ccccc2)cc1N
77069	MUV_600_D_75	CCOc1ccc(C(=O)O)cc1OC
78251	MUV_600_D_76	CCOC(=O)c1n[nH]c2ccccc21
79256	MUV_600_D_77	N#Cc1cnn(-c2ccccc2)c1N
79322	MUV_600_D_78	O=C(O)c1ccc(S(=O)(=O)c2ccccc2)cc1
79869	MUV_600_D_79	Nc1ccccc1-c1nc2ccccc2[nH]1
81131	MUV_600_D_80	CC(=O)c1ccc2c(c1)Nc1ccccc1S2
83187	MUV_600_D_81	O=C(Nc1ccccn1)c1cccnc1
85122	MUV_600_D_82	Cc1cc(C(N)=O)c2ccccc2n1
91505	MUV_600_D_83	Cl.CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
94777	MUV_600_D_84	CCOc1ccc(NC(=O)c2ccccc2O)cc1
95006	MUV_600_D_85	O=C(CN1C(=O)c2ccccc2C1=O)N1CCOCC1
95108	MUV_600_D_86	Fc1ccc(CSc2ncnc3nc[nH]c32)cc1
95775	MUV_600_D_87	Cc1cc(=O)oc(C)c1C(=O)O
96695	MUV_600_D_88	O=C(O)c1cnc2ccccc2n1
98614	MUV_600_D_89	O=c1[nH]cnc2sc3c(c21)CCCC3
98630	MUV_600_D_90	COc1ccc(C2(C(=O)O)CCCC2)cc1
100617	MUV_600_D_91	CC(=O)Oc1c2occc2cc2ccc(=O)oc21
100827	MUV_600_D_92	O=C(Nc1ccc(F)cc1)N1CCOCC1
101459	MUV_600_D_93	CCSc1nnc(N)s1
103958	MUV_600_D_94	CS(=O)(=O)Nc1ccccc1Oc1ccccc1
112786	MUV_600_D_95	Cc1nc2cc(-c3ccccc3)ccc2o1
115936	MUV_600_D_96	CC(C)Oc1ccc(C(=O)CCN2CCCCC2)cc1
117176	MUV_600_D_97	CCC(C(=O)OCCN(CC)CC)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
118982	MUV_600_D_98	O=C1CCCCCN1Sc1ccccc1
120035	MUV_600_D_99	c1ccc(-c2n[nH]c3c2CCC3)cc1
120526	MUV_600_D_100	O=C(NCN1CCCCC1)c1cnccn1
121034	MUV_600_D_101	CC(C)CCn1cnc2c1c(=O)n(C)c(=O)n2C
123450	MUV_600_D_102	O=C(O)c1cccnc1Oc1ccccc1
126623	MUV_600_D_103	Cl.CN(C)CCCN1C(=O)CSC1c1ccccc1
128894	MUV_600_D_104	CC(=O)Nc1ccc(OC(=O)c2cccs2)cc1
135348	MUV_600_D_105	O=C(O)C(O)C(O)C(=O)O.O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
138554	MUV_600_D_106	CC(=O)NS(=O)(=O)c1ccccc1
141040	MUV_600_D_107	c1ccc(Nc2nn[nH]n2)cc1
148620	MUV_600_D_108	Nc1ccccc1S(=O)(=O)c1ccccc1N
150653	MUV_600_D_109	CCOc1ccc(CN2CCC(=O)NC2=O)cc1
151368	MUV_600_D_110	CC(=O)Nc1ccc2[nH]c3ccccc3c2c1
151393	MUV_600_D_111	O=C(O)c1ccc(NCc2cccnc2)cc1
152215	MUV_600_D_112	CN1CC=C(c2c[nH]c3ccccc23)CC1
165348	MUV_600_D_113	c1nc2ncnc(NCCc3c[nH]c4ccccc34)c2[nH]1
178054	MUV_600_D_114	O=C(Nc1nccs1)Nc1cccc(Cl)c1
198956	MUV_600_D_115	COc1ccc(S(=O)(=O)Nc2nnc(C(C)(C)C)s2)cc1
198996	MUV_600_D_116	COc1cccc(N2CCN(c3ncccn3)CC2)c1
200643	MUV_600_D_117	OCn1ncn(-c2ccccc2)c1=S
202020	MUV_600_D_118	COc1ccccc1OC(C)C(=O)O
204278	MUV_600_D_119	COc1ncnc2c1NC(=O)CS2
208782	MUV_600_D_120	O=c1nc(N2CCN(c3ccccc3)CC2)[nH]c2c1CCC2
210031	MUV_600_D_121	O=c1oc2ccccc2n1CCCN1C(=O)c2ccccc2C1=O
217657	MUV_600_D_122	CC(C(=O)O)N1C(=O)CSC1=S
219776	MUV_600_D_123	Clc1ccc(Nc2ncnc3c2cnn3-c2ccccc2)cc1
224561	MUV_600_D_124	O=C(O)CCSc1nc2ccccc2s1
228244	MUV_600_D_125	CCC(CC)C(=O)NCCNC(=O)C(CC)CC
