# PUBCHEM_COMPOUND_CID	ID	SMILES
2249	MUV_859_D_1	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
2284	MUV_859_D_2	NCC(CC(=O)O)c1ccc(Cl)cc1
2435	MUV_859_D_3	Brc1c(NC2=NCCN2)ccc2nccnc21
2471	MUV_859_D_4	CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
3019	MUV_859_D_5	CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
3334	MUV_859_D_6	COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1
3371	MUV_859_D_7	O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
3488	MUV_859_D_8	COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
3559	MUV_859_D_9	O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
3702	MUV_859_D_10	CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
3715	MUV_859_D_11	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
3883	MUV_859_D_12	Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1
3899	MUV_859_D_13	Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
3969	MUV_859_D_14	CCCc1c(OCCCCc2nn[nH]n2)ccc(C(C)=O)c1O
4235	MUV_859_D_15	O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
4342	MUV_859_D_16	CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1
4488	MUV_859_D_17	O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
4615	MUV_859_D_18	O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1
4649	MUV_859_D_19	Nc1ccc(C(=O)O)c(O)c1
4764	MUV_859_D_20	O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
4917	MUV_859_D_21	CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
5070	MUV_859_D_22	Nc1nc2ccc(OC(F)(F)F)cc2s1
5155	MUV_859_D_23	Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O
5430	MUV_859_D_24	c1nc(-c2nc3ccccc3[nH]2)cs1
5753	MUV_859_D_25	CC12CC(O)C3C(CCC4=CC(=O)CCC43C)C1CCC2C(=O)CO
5754	MUV_859_D_26	CC12CC(O)C3C(CCC4=CC(=O)CCC43C)C1CCC2(O)C(=O)CO
6084	MUV_859_D_27	Cl.COc1ccc(Cc2nccc3cc(OC)c(OC)cc32)cc1OC
6088	MUV_859_D_28	CNCCc1c[nH]c2ccccc12
6100	MUV_859_D_29	CC[N+](C)(C)Cc1ccccc1Br.Cc1ccc(S(=O)(=O)[O-])cc1
6872	MUV_859_D_30	O=C(Nc1ccccc1)c1ccccc1O
7153	MUV_859_D_31	Cc1cc(Cl)ccc1OC(C)C(=O)O
7204	MUV_859_D_32	Cc1cc(Cl)ccc1OCC(=O)O
8570	MUV_859_D_33	COc1ccc(C(=O)c2ccc(OC)cc2O)c(O)c1
10145	MUV_859_D_34	COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3
10168	MUV_859_D_35	O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O
10607	MUV_859_D_36	COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C32)OCO4)cc(OC)c1OC
11257	MUV_859_D_37	CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
12492	MUV_859_D_38	CC1CCCC(C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
17709	MUV_859_D_39	O=CNc1ccccc1Oc1ccccc1
22881	MUV_859_D_40	[Na+].Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl
25712	MUV_859_D_41	NC(=O)Nc1cccc(C(F)(F)F)c1
31898	MUV_859_D_42	CN(C)S(=O)(=O)Nc1ccc(Oc2ccccc2)cc1
33925	MUV_859_D_43	CCC1(c2ccccc2)C(=O)N(COC)C(=O)N(COC)C1=O
34611	MUV_859_D_44	CN(C)Cc1c2c(C(=O)c3ccccc3)coc2ccc1O
34623	MUV_859_D_45	CN(C)Cc1c2c(ccc1O)occ2C(O)c1ccccc1
38280	MUV_859_D_46	CCCOC(=O)c1cc2ccccc2oc1=O
39042	MUV_859_D_47	CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
41022	MUV_859_D_48	CC(=O)O.O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
41368	MUV_859_D_49	CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1
43380	MUV_859_D_50	COc1cc(C(=O)Nc2ccc(N(C)C)cc2)cc(OC)c1OC
46372	MUV_859_D_51	Cc1cc2sc(N)nc2c(C)c1
50496	MUV_859_D_52	Nc1c(=O)oc2ccccc2c1N1CCN(c2ccccc2)CC1
54739	MUV_859_D_53	CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O
57381	MUV_859_D_54	CC(C)CCOc1ccc(C2(C)NC(=O)N(CN3CCOCC3)C2=O)cc1
62857	MUV_859_D_55	Cl.CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
63204	MUV_859_D_56	O=c1nc(-c2ccccc2)c2cc(Cl)ccc2[nH]1
63994	MUV_859_D_57	O=C1CCCN1CC(CN1CCOCC1)Sc1nc2ccccc2c(=O)n1-c1ccccc1
64714	MUV_859_D_58	[Na+].Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-]
64952	MUV_859_D_59	CC(=O)Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
65335	MUV_859_D_60	Cl.Clc1ccccc1CN1CCc2sccc2C1
66070	MUV_859_D_61	Cl.Cc1cccc(C)c1NC(=O)C1CCCCN1C
66259	MUV_859_D_62	Cl.Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
66440	MUV_859_D_63	CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC(=O)O
68551	MUV_859_D_64	Cl.CN1CCN2c3ccccc3Cc3ccccc3C2C1
71612	MUV_859_D_65	Cl.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
73239	MUV_859_D_66	CCOC(=O)c1sc(N)nc1-c1ccccc1
