,0,1
0,23.874746,21.658113
1,43.643906,-17.557783
2,7.283782,-20.874472
3,-37.795326,14.687141
4,36.904205,26.06048
5,-6.3171015,12.616543
6,-24.879004,0.72562504
7,30.492687,13.159615
8,-13.841556,8.082485
9,-6.6855893,-14.555516
10,-10.457395,29.848343
11,26.389574,-26.79325
12,22.00272,22.683199
13,9.03405,9.0534315
14,-32.30327,-1.5730035
15,27.584692,-3.2500904
16,-14.126779,9.8226595
17,-29.712378,-11.997169
18,-36.830696,8.590656
19,-14.294404,-49.5053
20,-6.534463,-0.72689575
21,-45.217373,-7.5875487
22,-40.59468,7.95027
23,24.232195,11.354224
24,-18.090351,0.15491061
25,35.573536,26.892555
26,7.1114473,-20.598234
27,-21.505604,3.482915
28,49.813232,9.2736225
29,7.8044486,-36.378395
30,23.47841,11.066188
31,-12.461844,-47.83112
32,1.1930107,-8.397664
33,-17.660088,1.1674688
34,25.906292,11.883974
35,-30.24221,5.991326
36,7.990993,12.110793
37,36.2114,27.139551
38,-25.801798,1.7421068
39,-35.11668,6.4982667
40,31.63115,11.684642
41,-40.69997,24.456644
42,-45.18443,-6.9850225
43,23.446184,30.941168
44,-36.160328,13.278436
45,21.487688,-29.741936
46,50.647984,-0.87370443
47,-40.594772,7.950207
48,47.92622,11.897622
49,-5.7270136,41.605713
50,-38.949913,20.527836
51,-28.120296,-13.8955
52,-8.943511,-50.767025
53,-14.11206,-4.7214093
54,-4.8455076,15.795143
55,9.813411,23.47444
56,14.759333,-43.513092
57,52.24109,8.701469
58,21.176083,-26.923094
59,-21.149462,-2.8069777
60,-19.189257,-6.6579256
61,-10.107523,-49.44682
62,-26.122396,9.006378
63,19.95675,-10.604787
64,22.788164,-26.483532
65,-7.9321227,42.612656
66,-18.235868,22.705929
67,-42.135113,-16.173948
68,43.27715,-15.7934475
69,-6.487075,-0.2186894
70,-43.31763,-18.803436
71,49.857246,-0.054247767
72,31.275972,17.35671
73,-15.209541,-56.87193
74,-17.304022,0.40191942
75,-21.149738,-2.8068764
76,48.274704,-20.875788
77,31.498158,-22.948122
78,-6.037745,-14.048713
79,28.465248,-20.414928
80,53.643917,10.011951
81,-17.0012,22.034077
82,29.816479,-4.218065
83,-14.045526,5.5815973
84,-6.8406544,14.102483
85,50.960846,-15.122563
86,35.245758,-16.617355
87,50.401165,7.0535264
88,-12.406445,-49.46721
89,-29.077177,-12.877027
90,-33.691814,6.9914207
91,-22.108774,-13.76657
92,30.294962,31.03994
93,8.10029,-35.40728
94,-18.646328,11.144771
95,27.694378,22.210245
96,26.048763,8.653425
97,4.7483573,-18.54904
98,45.596336,14.564823
99,-12.352837,-43.041897
100,-44.420578,-11.3806505
101,-10.409558,-47.04502
102,-53.73626,20.099682
103,-9.938545,31.208117
104,-5.906225,15.060996
105,40.094223,-22.94982
106,26.2379,20.404333
107,-52.095066,19.649015
108,36.89504,25.37984
109,-13.21603,-52.97584
110,-28.251562,27.25125
111,23.946077,-18.068203
112,-0.82020223,37.621098
113,-34.57091,23.676239
114,48.30913,-19.889732
115,32.567055,-27.004757
116,-32.600304,23.126871
117,-16.10385,12.532842
118,49.51598,-16.515778
119,49.35595,-20.811476
120,-40.761887,11.321473
121,25.266628,20.496483
122,-15.511184,-4.1338954
123,45.499504,-4.523218
124,4.6843944,-20.61567
125,47.806843,-23.829866
126,-42.8376,27.115194
127,-44.210064,-8.005301
128,-14.0575075,-57.20832
129,-46.35039,-18.665657
130,24.478445,10.945203
131,-21.98015,2.1224968
132,-53.42856,18.764942
133,27.100124,22.197376
134,-6.1787486,42.828323
135,38.57676,-16.877098
136,-0.8975582,35.727173
137,16.374615,-41.492836
138,8.409188,-17.944315
139,-12.496707,-42.23465
140,-13.268644,5.450636
141,-5.960523,13.98458
142,-38.846447,13.407491
143,-14.75926,7.708535
144,-18.10332,22.450926
145,31.383944,-21.974754
146,-11.112671,-44.04825
147,38.300365,-23.385593
148,35.364326,27.21429
149,49.871746,-22.701754
150,-42.698532,26.915447
151,42.570637,-17.527065
152,-16.245373,-15.146541
153,-17.600313,21.933273
154,-12.755943,-14.906103
155,-38.230442,13.333884
156,47.55773,-6.185771
157,22.610407,-27.1804
158,-37.21458,14.6237135
159,15.484121,-43.67674
160,-19.160961,-0.71266705
161,-5.795967,42.715076
162,12.431498,19.72958
163,33.48071,31.34032
164,-27.852747,27.514002
165,14.368652,-41.999653
166,-40.36955,25.115612
167,35.1852,5.111311
168,49.305065,12.945386
169,21.180504,-13.783186
170,23.61157,26.816618
171,-36.557102,15.702865
172,24.283966,28.157
173,16.374615,-41.492836
174,45.58813,12.162251
175,34.729103,3.221306
176,-15.081514,-56.27602
177,-27.287863,-13.713729
178,-47.26699,22.485497
179,-10.291408,-5.2421827
180,-29.136097,26.298656
181,29.490498,30.577948
182,22.744465,21.879206
183,-14.205621,7.318198
184,25.686583,29.639574
185,-46.563232,-11.737815
186,-1.2803122,36.420376
187,-8.5285845,16.380499
188,-18.463326,-1.981187
189,9.274402,-36.510628
190,-37.112377,13.256475
191,32.77047,27.887392
192,-30.361076,-14.137622
193,15.682212,-40.471012
194,44.21367,-4.7753043
195,-26.686758,3.6617785
196,-55.139538,21.259506
197,42.284145,-23.467106
198,-28.120478,25.056112
199,-11.043509,28.659304
200,-15.61703,-13.111315
201,21.713694,2.264558
202,-43.132248,-7.1532297
203,43.087963,-24.169876
204,-30.59534,27.25213
205,27.94166,-15.714494
206,6.7660866,-18.040508
207,27.043398,24.44505
208,-15.618677,-55.7922
209,-10.665664,30.937708
210,-8.132223,25.22735
211,7.630546,-39.066845
212,-15.864079,10.508328
213,-16.012825,-14.383167
214,-25.124195,6.606955
215,-10.200898,-46.14
216,-46.350307,-18.665611
217,48.857273,7.476503
218,-41.47251,-18.015764
219,-30.043112,8.346248
220,50.634773,-22.381916
221,49.26869,-4.2649856
222,-45.597813,-12.712819
223,-11.602125,-5.865854
224,4.172025,-36.78948
225,-13.451954,-42.32918
226,33.531944,10.794202
227,-5.3844833,41.3556
228,-35.258118,13.128492
229,-35.178185,12.844044
230,45.675617,13.143954
231,47.250496,14.57349
232,44.43974,-3.304
233,21.244816,-30.170717
234,-34.260254,6.4728203
235,-24.190847,-7.775602
236,46.852024,-24.331343
237,50.006176,12.743854
238,-25.515154,-4.155268
239,-34.768993,8.377449
240,-36.171005,20.398998
241,-51.90407,23.033993
242,31.558065,-6.5846033
243,-8.676262,24.344404
